//Mani Movva (mmovva@calpoly.edu) and Anish Yakkala (ayakkala@calpoly.edu) Date: 04/05/19 Assignment: Project 1

N=5000: T_ss=24, T_ms=2, T_qs=1
N=5000: T_ss=20, T_ms=0, T_qs=0
N=5000: T_ss=20, T_ms=0, T_qs=0
N=5000: T_ss=20, T_ms=0, T_qs=0
N=5000: T_ss=20, T_ms=0, T_qs=0

N=10000: T_ss=40, T_ms=1, T_qs=0
N=10000: T_ss=79, T_ms=1, T_qs=0
N=10000: T_ss=83, T_ms=1, T_qs=0
N=10000: T_ss=81, T_ms=1, T_qs=0
N=10000: T_ss=83, T_ms=1, T_qs=0

N=20000: T_ss=324, T_ms=3, T_qs=1
N=20000: T_ss=326, T_ms=3, T_qs=1
N=20000: T_ss=159, T_ms=3, T_qs=1
N=20000: T_ss=168, T_ms=3, T_qs=1
N=20000: T_ss=162, T_ms=3, T_qs=1

N=40000: T_ss=660, T_ms=6, T_qs=3
N=40000: T_ss=658, T_ms=6, T_qs=3
N=40000: T_ss=674, T_ms=8, T_qs=3
N=40000: T_ss=656, T_ms=12, T_qs=3
N=40000: T_ss=666, T_ms=4, T_qs=3

N=80000: T_ss=2614, T_ms=10, T_qs=7
N=80000: T_ss=2645, T_ms=9, T_qs=7
N=80000: T_ss=2609, T_ms=12, T_qs=7
N=80000: T_ss=2649, T_ms=13, T_qs=9
N=80000: T_ss=2609, T_ms=17, T_qs=7

N=160000: T_ss=21897, T_ms=32, T_qs=17
N=160000: T_ss=21594, T_ms=29, T_qs=17
N=160000: T_ss=21811, T_ms=38, T_qs=16
N=160000: T_ss=21714, T_ms=41, T_qs=15
N=160000: T_ss=21387, T_ms=33, T_qs=17

